Query ID,Predicted Cardinality
0,75667
1,763
2,1880286
3,1813466
4,1817873
5,1850
6,33
7,932818
8,52920
9,3678288
10,44
11,350787
12,18093950
13,9717652
14,664796
15,1033311
16,99402
17,1778356
18,22071
19,34236
20,323
21,3753326
22,74543968
23,43
24,66690
25,3365606
26,11643
27,72
28,196
29,9361
30,517854
31,20760
32,29006960
33,3396800
34,5
35,727
36,16888496
37,2275652
38,3819172
39,33832524
40,2825095
41,915700
42,1234746
43,142
44,195840
45,31
46,38
47,16
48,347
49,3916821
50,673896
51,23818868
52,12425962
53,162944
54,15569010
55,415654
56,2089248
57,880269
58,15494
59,374326
60,155054
61,179141
62,3090799
63,7366
64,183
65,17
66,119598
67,65765
68,325302
69,699471
70,3852972
71,228193
72,30
73,1131912
74,21250826
75,121
76,3499496
77,19668874
78,33165170
79,9125617
80,2232
81,858
82,22123636
83,62616
84,22030
85,45314
86,8694
87,43600536
88,492
89,3467726
90,4532106
91,573901
92,440482
93,121768
94,38386
95,6807567
96,3203142
97,161
98,17034336
99,25
100,62462
101,209855
102,118
103,2494
104,940266
105,37
106,32225392
107,456328
108,28785012
109,1079351
110,32
111,122
112,389758
113,791289
114,825369
115,7093366
116,65
117,13565
118,23391
119,358783
120,17
121,3852711
122,2197911
123,43
124,5965726
125,583205
126,17557472
127,1638885
128,9754
129,5169
130,127203
131,1557622
132,6500
133,1563393
134,199
135,574820
136,22
137,419913
138,3894146
139,206873
140,268157
141,2164440
142,10
143,7427
144,620
145,3488956
146,1098103
147,1506714
148,120
149,4821784
150,140994
151,1889762
152,224780896
153,63665
154,745888
155,11771420
156,91567968
157,301873
158,249399
159,39
160,2560230
161,2083045
162,83892
163,1369548
164,2523236
165,7137923
166,11285216
167,27939278
168,8883628
169,38
170,34374
171,9468782
172,365888
173,2421516
174,1504758
175,375
176,198
177,9653567
178,81709
179,1358605
180,8276386
181,2326938
182,122
183,252426
184,7867172
185,96340000
186,454308
187,1344068
188,26776
189,6090
190,102470304
191,19119150
192,4429844
193,5
194,56
195,131017
196,32457146
197,13149
198,53
199,157944
200,2
201,3936522
202,2647500
203,510739
204,64318432
205,23632788
206,12
207,782
208,14427158
209,11391573
210,764
211,5208414
212,17
213,153732
214,11279
215,116
216,969
217,1131731
218,10568834
219,1660
220,44
221,147
222,1775
223,2762530
224,195073
225,42560812
226,35264
227,615
228,50
229,12489190
230,1769893
231,1535592
232,267
233,559273
234,2796264
235,3139
236,693577
237,22232012
238,27528
239,9463926
240,6911
241,134020448
242,22
243,32743
244,1322751
245,294656
246,4180387
247,231933
248,2261212
249,5373
250,27815
251,80353
252,68
253,1202188
254,2327344
255,4665143
256,59
257,6695662
258,69760560
259,262961
260,398378
261,707237
262,451198
263,851
264,1414979
265,409636
266,86169240
267,11015702
268,218055
269,11
270,2938455
271,1608204
272,1067486
273,15914098
274,41008
275,107621712
276,2891414
277,408906
278,164
279,14750116
280,22
281,493216
282,52
283,495
284,1266310
285,18995492
286,8104
287,162019
288,117756
289,580061
290,371755
291,120
292,47039232
293,932473
294,1620
295,10
296,738947
297,1827755
298,2055522
299,449
300,26805620
301,46
302,28222
303,419207
304,148645
305,6463
306,110
307,38851300
308,3038850
309,1076183
310,2338772
311,233
312,4
313,593398
314,467521
315,28927344
316,147
317,266034
318,14
319,708
320,3
321,188507
322,10854232
323,268429
324,12
325,561459
326,103734
327,43
328,5
329,74
330,745019
331,938992
332,506662
333,642795
334,219195
335,38
336,68500
337,178640
338,3652818
339,38
340,5305592
341,502939
342,166601952
343,222
344,58
345,78
346,1198194
347,8488
348,588502
349,419
350,334877
351,2322333
352,359283
353,500644
354,712741
355,837805
356,565
357,135400720
358,1878059
359,3560685
360,104644
361,170761
362,595647
363,86248168
364,2014296
365,1083206
366,494848
367,85004512
368,8834583
369,29136046
370,583526
371,33
372,10317
373,227188
374,119144
375,3646209
376,1507
377,1231757
378,28039002
379,2
380,984
381,82
382,16475075
383,7492718
384,3141742
385,10
386,45919428
387,819348
388,1778338
389,1324
390,538291
391,15927278
392,14798586
393,276
394,26205704
395,8
396,813
397,19746
398,1057003
399,103761880
400,760648
401,1526
402,82046
403,9231
404,43
405,542317
406,9774368
407,26059
408,13055871
409,12909
410,19335630
411,1663
412,713314
413,121
414,827661
415,209962
416,487160
417,6272710
418,19566986
419,634902
420,3287726
421,318767
422,29242
423,57
424,428980
425,2778104
426,20871
427,6
428,35690
429,194
430,997
431,2276974
432,10
433,1720
434,46451
435,3451940
436,11228084
437,238022
438,16813384
439,9371901
440,168
441,22583
442,22
443,64
444,4047730
445,1398499
446,280950
447,205364
448,3434085
449,361971
450,20
451,671
452,5490641
453,13649228
454,3438
455,2745966
456,5819523
457,64166
458,240713
459,52837
460,421208
461,2182048
462,176566
463,1737534
464,366577
465,10658
466,2314524
467,22
468,34
469,7
470,2298337
471,587298
472,62642
473,3
474,3977504
475,18
476,3124549
477,9244889
478,450752
479,1915999
480,310
481,3119258
482,3202
483,7875722
484,114397
485,1307035
486,1094
487,275600
488,32
489,15104
490,6111
491,57
492,134424
493,31
494,341
495,682631
496,317004
497,61831
498,35
499,5431
500,18992304
501,29081
502,252
503,132
504,20064118
505,110401
506,5338
507,4683
508,73
509,729390
510,55
511,7
512,3481690
513,2427114
514,3263289
515,1123687
516,433826
517,1334138
518,33558676
519,258301
520,176
521,869
522,6990
523,9
524,764121
525,6494
526,36
527,58822
528,2778123
529,24587
530,357087
531,15071016
532,19026894
533,12359
534,1144257
535,58248004
536,9
537,242794
538,26085768
539,2775313
540,28
541,153305664
542,56526372
543,1267346
544,6
545,276
546,131896
547,288716
548,568908
549,538
550,247
551,24171
552,1158282
553,281074
554,5
555,5340752
556,91342
557,6202516
558,234372
559,252507
560,278
561,67790
562,37345
563,4818411
564,3852836
565,37941
566,3870690
567,9063983
568,5
569,3815812
570,10117063
571,40
572,155377
573,725902
574,59024
575,428787
576,7241843
577,1228551
578,166266
579,2023
580,5
581,690696
582,1713874
583,1711986
584,141636
585,3536438
586,18315304
587,880034
588,2612679
589,2177
590,3312230
591,409512
592,34438
593,7693449
594,84
595,119078
596,36103
597,936732
598,203532
599,49
600,46
601,736502
602,1082593
603,3225462
604,412673
605,1542720
606,94065408
607,9327728
608,10554610
609,386199
610,7578
611,82299832
612,11723
613,38
614,1144
615,701254
616,151155
617,19
618,31721
619,8610750
620,13151
621,14663
622,115422
623,52
624,93928
625,655219
626,10595738
627,267811
628,1609930
629,710355
630,997233
631,39
