Flight ID,Departure date,Intl/Dome,Flight NO.,Departure airport,Arrival airport,Departure Time,Arrival Time,Airplane ID,Airplane Model,Air fares
1,5/5/2017,Dome,346,48,50,5/5/2017 12:20,5/5/2017 15:10,30,1,666
2,5/7/2017,Dome,346,48,50,5/7/2017 12:20,5/7/2017 15:10,40,1,1350
3,5/8/2017,Dome,346,48,50,5/8/2017 12:20,5/8/2017 15:10,31,1,1656
4,5/5/2017,Dome,347,49,48,5/5/2017 21:00,5/5/2017 23:45,59,2,1197
5,5/6/2017,Dome,346,48,50,5/6/2017 12:20,5/6/2017 15:10,40,1,1671
6,5/6/2017,Dome,344,68,49,5/6/2017 11:15,5/6/2017 13:25,6,2,642
7,5/8/2017,Dome,344,68,49,5/8/2017 11:15,5/8/2017 13:25,129,2,609
8,5/5/2017,Dome,344,68,49,5/5/2017 11:15,5/5/2017 13:25,133,2,944
9,5/5/2017,Dome,345,50,48,5/5/2017 8:05,5/5/2017 11:00,30,1,1175
10,5/6/2017,Dome,345,50,48,5/6/2017 8:05,5/6/2017 11:00,40,1,715
11,5/7/2017,Dome,345,50,48,5/7/2017 8:05,5/7/2017 11:00,40,1,964
12,5/8/2017,Dome,345,50,48,5/8/2017 8:05,5/8/2017 11:00,31,1,1107
13,5/5/2017,Dome,348,48,49,5/5/2017 8:05,5/5/2017 10:45,103,2,594
14,5/6/2017,Dome,348,48,49,5/6/2017 8:05,5/6/2017 10:45,59,2,930
15,5/5/2017,Dome,349,50,72,5/5/2017 7:30,5/5/2017 10:25,50,2,842
16,5/6/2017,Dome,349,50,72,5/6/2017 7:30,5/6/2017 10:25,94,2,1373
17,5/7/2017,Dome,349,50,72,5/7/2017 7:30,5/7/2017 10:25,69,2,1206
18,5/8/2017,Dome,349,50,72,5/8/2017 7:30,5/8/2017 10:25,135,2,1007
19,5/5/2017,Intl,362,36,4,5/5/2017 12:45,5/6/2017 1:25,24,4,7259
20,5/7/2017,Dome,356,72,49,5/7/2017 15:15,5/7/2017 17:55,29,3,1653
21,5/8/2017,Dome,356,72,49,5/8/2017 15:15,5/8/2017 17:55,29,3,659
22,5/7/2017,Dome,354,71,32,5/7/2017 12:30,5/7/2017 14:15,92,2,1078
23,5/7/2017,Dome,354,32,49,5/7/2017 15:15,5/7/2017 16:40,92,2,814
24,5/5/2017,Dome,356,72,49,5/5/2017 15:15,5/5/2017 17:55,92,2,1264
25,5/6/2017,Dome,356,72,49,5/6/2017 15:15,5/6/2017 17:55,29,3,656
26,5/5/2017,Dome,364,50,72,5/5/2017 16:25,5/5/2017 19:25,76,2,787
27,5/6/2017,Dome,364,50,72,5/6/2017 16:25,5/6/2017 19:25,101,2,1337
28,5/7/2017,Dome,364,50,72,5/7/2017 16:25,5/7/2017 19:25,99,2,1611
29,5/8/2017,Dome,364,50,72,5/8/2017 16:25,5/8/2017 19:25,73,2,1036
30,5/7/2017,Dome,352,68,49,5/7/2017 21:15,5/7/2017 23:10,41,1,416
